DN	UF	COD_EMB	SIGLA OM	QTDE	
2º	SE	59	CPSE	1	
2º	SE	34	CPSE	336	
2º	SE	105	CPSE	10	
2º	SE	35	CPSE	901	
2º	SE	108	CPSE	852	
2º	SE	37	CPSE	11	
2º	SE	99	CPSE	709	
2º	SE	13	CPSE	13	
2º	SE	63	CPSE	1	
2º	SE	38	CPSE	112	
2º	SE	39	CPSE	3	
2º	SE	17	CPSE	1	
2º	SE	41	CPSE	4	
2º	SE	42	CPSE	2	
2º	SE	46	CPSE	1	
2º	SE	43	CPSE	19	
4º	AP	23	CPAP	1	
4º	AP	107	CPAP	3	
4º	AP	48	CPAP	82	
4º	AP	25	CPAP	1037	
4º	AP	53	CPAP	1	
4º	AP	26	CPAP	11	
4º	AP	27	CPAP	1	
4º	AP	51	CPAP	1022	
4º	AP	10	CPAP	2348	
4º	AP	28	CPAP	1	
4º	AP	56	CPAP	6	
4º	AP	31	CPAP	4	
4º	AP	57	CPAP	26	
4º	AP	33	CPAP	16	
4º	AP	59	CPAP	28	
4º	AP	34	CPAP	2	
4º	AP	105	CPAP	8	
4º	AP	35	CPAP	2325	
4º	AP	108	CPAP	265	
4º	AP	37	CPAP	1	
4º	AP	99	CPAP	45	
4º	AP	13	CPAP	300	
4º	AP	63	CPAP	2588	
4º	AP	20	CPAP	4	
4º	AP	38	CPAP	1250	
4º	AP	4	CPAP	3	
4º	AP	41	CPAP	20	
4º	AP	9	CPAP	1	
4º	AP	12	CPAP	26	
4º	AP	2	CPAP	3	
4º	AP	43	CPAP	4	
3º	CE	23	CPCE	1	
3º	CE	48	CPCE	36	
3º	CE	25	CPCE	8	
3º	CE	53	CPCE	3	
3º	CE	26	CPCE	433	
3º	CE	51	CPCE	1003	
3º	CE	10	CPCE	1	
3º	CE	28	CPCE	1	
3º	CE	31	CPCE	1	
3º	CE	32	CPCE	3	
3º	CE	33	CPCE	6	
3º	CE	44	CPCE	1	
3º	CE	59	CPCE	10	
3º	CE	34	CPCE	1487	
3º	CE	105	CPCE	10	
3º	CE	103	CPCE	1	
3º	CE	35	CPCE	1096	
3º	CE	108	CPCE	978	
3º	CE	37	CPCE	42	
3º	CE	99	CPCE	89	
3º	CE	13	CPCE	7	
3º	CE	63	CPCE	1	
3º	CE	38	CPCE	659	
3º	CE	41	CPCE	10	
3º	CE	42	CPCE	1	
3º	CE	45	CPCE	6	
3º	CE	106	CPCE	2	
3º	CE	43	CPCE	51	
1º	ES	109	CPES	1	
1º	ES	107	CPES	1	
1º	ES	52	CPES	3	
1º	ES	48	CPES	131	
1º	ES	25	CPES	40	
1º	ES	53	CPES	6	
1º	ES	26	CPES	8578	
1º	ES	27	CPES	7	
1º	ES	55	CPES	16	
1º	ES	54	CPES	5	
1º	ES	51	CPES	1150	
1º	ES	10	CPES	2	
1º	ES	28	CPES	73	
1º	ES	31	CPES	61	
1º	ES	32	CPES	21	
1º	ES	33	CPES	66	
1º	ES	7	CPES	1	
1º	ES	44	CPES	1	
1º	ES	59	CPES	1	
